census_year,census_division_id,quality_qlfd_population_ind,pop_total,pop_4under,pop_5_9,pop_10_14,pop_15,pop_16,pop_17,pop_18,pop_19,pop_20_24,pop_25_29,pop_30_34,pop_35_39,pop_40_44,pop_45_49,pop_50_54,pop_55_59,pop_60_64,pop_65_69,pop_70_74,pop_75_79,pop_80_84,pop_85plus,pop_median_age,hshld_n,quality_qlfd_nhs_ind,global_non_response_rate_nhs,hshldincome_median,hshldincome_5kunder,hshldincome_5k_10k,hshldincome_10k_15k,hshldincome_15k_20k,hshldincome_20k_30k,hshldincome_30k_40k,hshldincome_40k_50k,hshldincome_50k_60k,hshldincome_60k_80k,hshldincome_80k_100k,hshldincome_100k_125k,hshldincome_125k_150k,hshldincome_150kplus,wrkfrc_ed_u12,wrkfrc_ed_12,wrkfrc_ed_asscdeg,wrkfrc_ed_collegegrad_gt16yrs,wrkfrc_ed_collegegrad_16yrs,industry_agriculture,industry_mining,industry_utilities,industry_construction,industry_manufacturing,industry_wholesale,industry_retail,industry_transport,industry_info_cultural,industry_finance_insurance,industry_realestate,industry_professional,industry_management,industry_admin_waste,industry_education,industry_health,industry_arts_rec,industry_accomm_food,industry_other,industry_public_admin,occupation_management,occupation_business,occupation_science,occupation_health,occupation_education_law,occupation_art_culture_rec,occupation_sales_service,occupation_trades,occupation_resources_ag,occupation_manufacturing,commute_median,laborforce_participatn_male,laborforce_participatn_female,laborforce_participatn_total
2011,5901,N,56685,3055,2940,2985,685,705,685,700,630,2865,3170,3295,3365,3625,4405,4970,4885,4330,3085,2300,1680,1285,1045,44.5,24040,N,35.5,66049,665,355,610,1235,1920,2050,2125,1990,3540,2985,2925,1465,2175,3640,8585,6560,1730,3355,890,3030,100,2650,1515,840,3430,1115,465,795,840,1370,0,1195,1730,3175,1215,2730,1770,1515,3065,4100,1415,1980,2685,655,7340,6615,1570,960,10.8,71.8,59.8,65.8
2011,5903,N,58440,2675,2875,3125,700,680,685,680,660,2550,2515,3085,3475,3605,4280,5060,5275,5140,3690,2685,2095,1555,1355,47.4,25805,N,37.3,49084,685,660,940,1980,2855,3275,2715,2255,3385,2445,2165,1075,1370,3645,8680,5960,1995,4360,1330,420,375,3030,2580,500,4015,940,350,595,525,1630,30,670,2255,3330,765,2035,1660,1515,3250,3490,2045,2005,3040,960,6285,4965,1115,1405,15.2,63.1,57.1,60.1
2011,5905,N,31135,1380,1465,1540,365,360,375,360,345,1300,1260,1375,1565,1820,2275,2875,2935,2815,2005,1615,1285,965,845,49.6,13930,N,38,52690,450,275,720,1020,1690,1440,1120,1025,1820,1585,1035,770,980,2025,4280,4000,880,1640,700,325,255,1150,1750,225,1795,455,115,400,150,465,0,615,1005,2030,315,830,715,810,1340,1650,715,1255,1510,235,3210,2800,555,815,10.9,58.7,52.5,55.6
2011,5907,N,80740,2915,3165,3775,860,860,925,865,830,3485,3310,3315,3600,4125,5705,6775,6890,7095,5890,5140,4400,3485,3340,52,36050,N,35.6,46157,895,855,1035,2875,5040,4900,3690,3085,4745,3205,2175,1555,1995,5105,10815,7920,2060,4415,2420,485,200,3660,2740,645,4230,1055,680,1180,710,1715,75,1470,2410,4675,730,2775,1970,2355,4675,4910,1665,2580,4020,800,8745,5975,1625,1170,10.7,56.8,51.1,53.8
2011,5909,N,277595,17145,16995,17720,3865,4035,3900,3870,3835,17355,17265,16835,17245,18835,20685,20470,18000,16510,12835,10035,8055,6270,5830,39.6,101775,N,28.9,59326,2760,1775,3340,5830,9215,10640,9555,8340,15050,11975,9870,5780,7645,21200,42875,28915,8860,13240,8480,605,495,14080,11880,5450,16235,8730,1680,3925,2585,6215,35,5985,9600,14080,2300,9285,7255,9105,13975,19145,5195,8160,16500,2960,31535,27430,6905,6195,20,69.4,59.2,64.2
2011,5915,N,2313325,115185,114390,124880,28165,28785,28975,29365,29895,159080,170065,160010,161245,180535,192090,182435,158570,136755,94860,72890,58150,44235,42760,40.2,891305,N,24.4,63347,36615,19710,29755,45405,72450,75845,75605,67265,120390,94970,86410,57690,109195,111335,306890,210930,166660,287230,12695,5065,7465,84540,81640,60430,135255,68595,45020,62665,33155,120590,1745,56840,93600,125495,30565,97010,61695,61685,148575,218815,95475,76705,143595,50835,303770,152660,16960,38365,25.6,70.8,61.7,66.1
2011,5917,N,359990,15305,15170,16405,3655,3805,4050,3980,4275,23930,24080,22115,21130,23190,26730,28630,28595,27270,19530,13930,11840,10140,12225,44.8,160630,N,23.1,60796,4375,2980,5740,8620,13970,14925,15045,13530,23295,18125,15565,9695,14765,14195,47385,33120,23285,39090,2120,415,545,14185,6450,4905,22510,6900,3750,6215,4495,16025,150,8060,15750,26020,5220,15965,8210,26850,22080,33170,15345,14490,27450,7525,46170,22330,3385,2785,18.8,68.4,61.8,65
2011,5919,N,80330,3770,4050,4515,1005,1080,1060,1050,930,3830,3430,3805,4140,4900,6280,6985,6805,6775,4945,3790,2940,2190,2050,47.2,33165,N,24.9,56471,775,645,1275,1645,3645,3665,3085,2655,4835,3905,3060,1855,2120,5330,11720,8895,2450,4835,2020,225,160,4000,2710,860,4995,1400,405,1105,685,2045,0,1470,2660,4875,960,2845,1815,2950,4345,5015,1935,2735,4395,905,9180,6865,1325,1475,20,63.2,54.4,58.7
2011,5921,N,146575,6010,6060,7000,1555,1565,1670,1695,1725,7675,7185,6735,7110,8550,10400,12005,12515,12835,10440,8045,6355,4915,4535,49.3,64475,N,22.2,53780,1715,1375,2460,3775,6690,7025,6955,5855,9555,7105,5090,2980,3895,7655,20095,15930,5490,9630,1990,510,290,6890,2480,2105,9780,3335,1665,2050,1620,4120,45,3240,4690,8995,1645,6215,3500,3800,7465,9590,3920,5565,7420,1920,18380,11285,1940,1465,15.3,60.5,53.8,57
2011,5923,N,31065,1640,1545,1675,410,380,395,365,415,1570,1660,1795,1760,1870,2260,2635,2720,2390,1880,1350,1020,715,605,45.1,13380,N,28.7,47707,345,385,700,845,1580,1580,1565,1330,1925,1210,905,595,415,3045,4900,3595,530,1235,1055,95,100,1200,1335,200,1905,610,165,310,130,395,0,515,775,1605,355,1560,545,965,1390,1430,640,925,1385,395,3400,2540,805,915,10.5,58.8,52.1,55.5
2011,5924,N,43255,2145,2265,2415,560,570,520,520,530,2020,1965,2235,2360,2715,3420,3980,3950,3820,2700,1775,1240,845,695,46.3,18650,N,23.7,56518,525,330,720,1220,1720,2090,1730,1535,2950,2265,1550,910,1105,3350,7150,5050,1100,2135,2005,810,155,1850,1000,545,3085,1025,290,585,470,955,0,835,1210,2330,605,1575,910,1145,2145,2725,1330,1370,2080,555,5120,3810,1645,600,14.1,64.9,58,61.4
2011,5926,N,63540,2760,2955,3360,775,770,785,765,700,2815,2850,2945,3320,3760,5025,5440,5470,5440,4345,3235,2595,1755,1655,48.3,27885,N,22,55686,400,470,1005,1765,2860,3250,2720,2590,4500,3395,2300,1205,1425,3525,8965,6910,2315,4010,1845,405,150,2725,790,655,4580,1260,410,660,665,1790,0,1375,2510,4120,885,2155,1370,3085,3425,4035,1735,2510,4220,1085,7715,4565,1475,670,15.2,62.5,57.9,60.1
2011,5927,N,19905,810,850,975,235,250,270,220,200,785,725,780,945,1140,1550,1825,1960,1920,1455,1065,785,635,520,50.6,9150,N,27.9,48272,225,285,495,600,860,1230,1065,915,1125,870,715,375,390,1315,3165,2480,615,910,595,95,40,850,755,130,1175,430,90,245,160,300,0,420,465,1055,165,655,470,510,945,1145,360,725,815,195,1870,1545,505,505,10.8,55,49.6,52.3
2011,5929,N,28620,1140,1110,1375,365,305,305,355,295,1150,950,1115,1275,1590,2145,2660,2805,2920,2280,1520,1190,950,815,51.6,12830,N,36.1,55708,370,205,340,615,1350,1270,1455,1260,1850,1575,1040,585,915,1280,4045,3000,1310,2050,465,230,85,1530,1005,340,1975,790,330,335,310,860,0,650,765,1675,580,880,510,650,1420,1730,1010,945,1330,705,3430,2370,575,460,15.4,62.5,55.3,58.7
2011,5931,N,38170,2455,2130,2005,415,440,425,435,445,2570,3325,3560,3535,3200,3005,2755,2320,1875,1240,805,585,340,295,36.2,14990,N,35.1,62872,605,330,525,885,995,1525,1270,1065,1975,1775,1690,820,1530,1805,6215,4795,1945,3800,575,150,140,2960,475,360,2530,815,445,595,760,1325,0,1130,1345,1625,1150,3390,1060,1735,2990,2665,1005,1150,2230,855,6485,4075,835,285,12.5,77.6,73.1,75.5
2011,5933,N,128475,6280,6340,7035,1615,1585,1660,1605,1720,8225,7620,6820,7105,8330,9950,11090,10310,9365,7035,5485,4120,2820,2370,44,53385,N,30.4,59385,1400,860,1820,2845,4895,6155,4630,4370,8005,5635,5350,3385,4035,8580,20470,14705,4195,8180,2970,2460,275,5385,3600,2165,8190,3890,885,1510,1165,3185,65,2330,4860,8135,1810,5555,2670,4700,7105,8845,3115,4620,7800,1320,15460,12490,3135,1915,15.2,66.5,60.4,63.4
2011,5935,N,179840,8305,8520,9525,2150,2200,2205,2200,2255,11670,11090,9965,10170,11590,13755,14385,13100,12300,9515,8175,6710,5250,4800,44.2,74945,N,27.8,59456,1780,1180,2145,4080,7155,7980,7275,6170,11155,8340,7150,4240,6295,8015,25370,19555,6700,11665,1885,805,575,10000,5460,3710,12770,3375,2225,3325,2465,6510,45,4465,5825,12040,2465,7145,5085,4385,10730,14860,5635,7200,9160,2595,24280,14690,2795,2620,15.6,68.5,60.3,64.2
2011,5937,N,81235,3750,3925,4405,1025,1020,1085,1065,990,4125,3795,4015,4115,4795,6260,6985,6550,6260,5035,4085,3200,2525,2230,47.2,33760,N,28.8,53647,785,565,1090,2235,3745,3855,3350,2830,5025,3840,2620,1740,2080,5280,12170,8330,2175,4450,2440,425,410,3640,3285,1265,5820,1495,595,990,685,2040,15,1610,2300,4520,1390,2770,1945,1680,4340,5285,1865,2570,4320,825,9670,6880,1920,1660,15.3,64.7,55.2,59.7
2011,5939,N,50510,2275,2280,2540,600,645,630,580,550,2240,2435,2570,2585,2990,3880,4625,4300,4260,3335,2575,2015,1395,1200,48.1,21735,N,35.7,51523,590,295,855,1365,2565,2350,2565,1930,3285,2140,1895,940,960,3380,7995,5825,1355,2635,1500,470,185,2755,1545,445,2625,1610,355,590,565,1100,25,770,1460,2630,1060,2230,1195,1210,2845,2965,1060,1435,2390,590,5785,5100,1350,790,10.8,62.7,54.6,58.6
2011,5941,N,62390,3220,3250,3765,815,870,835,830,760,3145,2960,3140,3430,4055,5005,5555,5520,5115,3645,2560,1835,1185,885,45.1,26165,N,28.1,55027,780,545,1160,1625,2800,2895,2260,2265,3705,2950,2565,1340,1275,6855,10295,7015,1365,2430,3115,1175,110,2390,4100,745,3485,1585,405,625,415,890,20,965,1980,2845,535,2350,1405,2010,3050,3750,1295,1495,3100,435,6635,6875,2130,2400,15.1,66.7,57.1,61.9
2011,5943,N,11505,735,710,720,155,150,155,150,125,625,630,665,665,710,1010,1060,1055,850,600,335,200,135,65,41.8,4885,N,33.7,54845,185,110,140,380,545,465,460,390,615,460,625,295,215,1425,1775,1405,195,520,1135,45,35,285,625,135,590,355,55,85,85,150,0,190,405,570,85,355,350,570,645,715,420,230,740,65,1025,1065,780,415,10.2,70.6,64.2,67.5
2011,5945,N,3205,215,230,180,45,40,25,60,45,180,200,175,200,170,270,270,270,210,150,100,85,45,30,40,1215,N,35.5,40990,90,75,55,90,140,135,130,90,135,80,110,45,40,530,430,305,115,145,85,0,20,85,45,0,130,55,10,15,0,50,0,35,215,210,35,95,40,265,160,180,70,105,255,50,275,210,70,25,10.3,57.9,57.5,57.7
2011,5947,N,18785,1140,1190,1260,250,290,265,265,270,1165,970,1075,1265,1280,1495,1665,1510,1215,870,530,335,270,210,39.9,7550,N,34.7,49462,325,270,255,570,775,885,720,505,920,860,625,365,475,2365,2720,1830,490,1225,780,15,55,585,425,125,1120,1195,165,325,80,185,0,280,720,880,220,630,265,1105,1080,1145,460,410,1165,185,2055,1680,605,360,7.7,64.7,60.9,62.8
2011,5949,N,37360,2295,2370,2545,560,605,580,515,545,2220,1955,2000,2310,2630,3040,3195,2865,2455,1740,1195,850,530,360,40.3,14755,N,26.5,54871,555,375,645,910,1495,1480,1300,1245,1830,1510,1350,935,1125,4065,5495,3855,960,1820,865,420,95,1275,1755,380,1955,965,285,275,230,625,25,545,1740,2105,300,1285,765,1960,1470,2175,960,1005,2805,355,3925,3415,845,915,10.5,64.4,59.9,62.2
2011,5951,N,39210,2535,2650,2940,620,615,625,655,500,2180,2030,2105,2475,2595,3120,3430,2975,2340,1720,1250,845,565,445,39.3,15190,N,30.4,62303,385,315,440,975,1660,1220,1190,1120,2335,1845,1665,960,1080,4040,6645,3965,840,1655,2740,945,85,1510,2945,400,1920,1000,155,310,255,630,35,455,1630,1605,225,1210,730,1645,2065,2410,1130,935,2260,250,3585,4475,1580,1730,10.9,73.7,61.5,67.8
2011,5953,N,91880,5450,5165,5630,1295,1315,1320,1280,1360,6190,5920,5665,6000,6570,7490,7720,7055,5680,3980,2705,1925,1225,940,39.5,37300,N,25,63854,1060,650,1240,2065,3210,3180,3115,2890,5695,4700,3820,2475,3200,7390,15145,9950,2750,5400,2505,725,315,4015,4385,1850,5925,3425,870,1415,725,2240,15,1780,3825,5765,775,3525,2670,3510,4730,7430,2420,3000,5970,825,11550,10575,1665,2075,15.2,73.1,65.2,69.2
2011,5955,N,60085,4595,3925,4095,865,855,865,870,885,4435,4905,4310,4005,4090,4575,4590,3690,2820,1930,1445,1080,700,550,34.3,23205,N,26.3,76982,700,430,445,1010,1655,1695,1525,1680,2775,3105,2850,2045,3290,6285,9155,7010,965,2445,1980,4590,425,3835,1485,1080,3885,2025,300,595,750,1865,15,820,1980,2455,505,2080,2005,1815,3855,5065,1735,1440,2865,465,6770,8725,2010,1550,10.7,81.2,68,74.8
2011,5957,N,625,30,25,30,10,10,0,5,0,35,30,35,45,30,55,65,75,60,45,20,25,5,10,49.3,315,N,46.3,42235,20,10,10,35,35,40,35,30,20,30,25,0,25,75,100,80,0,25,10,65,0,35,0,0,0,15,0,0,0,15,0,15,10,30,0,20,10,95,25,65,20,0,45,15,50,70,50,15,10.2,75.9,60.9,70.2
2011,5959,N,5575,450,365,370,95,90,105,75,60,420,465,455,430,460,440,495,360,215,105,55,45,25,10,33.1,2185,N,36.7,82605,55,15,10,90,110,185,155,135,310,270,265,205,380,655,1055,700,75,190,20,455,70,430,60,70,350,230,75,60,175,60,0,160,160,170,60,465,155,250,510,460,80,60,345,10,635,1045,135,185,10.1,84.5,73.8,79.7
