census_subdivision_id,clab_id,prov_riding_id
5915004,(null),64
5915046,(null),41
5915034,(null),49
5915022,(null),70
5915004,(null),63
5915004,(null),62
5915022,(null),74
5915022,(null),69
5915022,(null),73
5915011,(null),19
5915004,(null),67
5915022,(null),79
5915036,(null),42
5915022,(null),71
5915022,(null),76
5921007,(null),44
5915022,(null),72
5915022,(null),77
5909056,(null),1
5917021,(null),82
5915015,(null),55
5915022,(null),75
5915004,(null),68
5915004,(null),66
5915803,(null),53
5915025,(null),6
5915022,(null),78
5915046,(null),83
5915004,(null),65
5917021,(null),43
5941009,(null),11
5909052,(null),1
5915025,(null),7
5915034,(null),17
5915025,(null),9
5909052,(null),3
5915001,(null),31
5917034,(null),82
5915004,(null),61
5915015,(null),54
5919008,(null),18
5933042,(null),25
5915025,(null),8
5921007,(null),35
5915075,(null),33
5953023,(null),51
5935010,(null),27
5915015,(null),53
5909020,(null),12
5915055,(null),83
5921007,(null),34
5935010,(null),28
5915055,(null),84
5909020,(null),13
5909052,(null),2
5953023,(null),52
5915075,(null),32
5917034,(null),81
5933042,(null),26
5919008,(null),35
5915034,(null),16
5917021,(null),57
5915001,(null),22
5915046,(null),42
5941009,(null),10
5915805,(null),17
5915803,(null),78
5909056,(null),32
5915036,(null),49
5915011,(null),20
5915038,(null),49
5915043,(null),49
5933045,(null),25
5935029,(null),85
5909830,(null),13
5933817,(null),23
5917049,(null),24
5915029,(null),38
5915029,(null),38
5921023,(null),44
5915039,(null),48
5917040,(null),21
5917047,(null),21
5915007,(null),68
5949032,(null),60
5955030,(null),45
5901803,(null),29
5917015,(null),56
5915070,(null),33
5935016,(null),27
5953801,(null),52
5917041,(null),21
5937024,(null),58
(null),(null),14
5917044,(null),24
5921804,(null),35
5909882,(null),1
5955025,(null),45
5959007,(null),45
5915051,(null),41
5937014,(null),80
5915801,(null),68
5935018,(null),47
5939805,(null),26
5901022,(null),29
5933880,(null),25
5949035,(null),59
5909032,(null),13
5915002,(null),31
5907803,(null),47
5917030,(null),43
5941812,(null),11
5917042,(null),24
5921008,(null),44
5921018,(null),44
5907041,(null),47
5901006,(null),29
5903015,(null),37
5901804,(null),14
5941882,(null),11
5933884,(null),26
5923808,(null),4
5909835,(null),12
5943008,(null),40
5937028,(null),58
5933019,(null),23
5933844,(null),23
5933074,(null),25
5917809,(null),24
5955803,(null),45
5933812,(null),23
5909819,(null),13
5909806,(null),13
5915062,(null),84
5951815,(null),36
5951022,(null),36
5933024,(null),23
5924804,(null),40
5924034,(null),40
5901043,(null),14
5941802,(null),10
5924812,(null),40
5903045,(null),30
5931814,(null),23
5933054,(null),26
5909804,(null),13
5909837,(null),13
5951818,(null),36
5955010,(null),46
5933067,(null),25
5933028,(null),23
5937010,(null),80
5933801,(null),23
5926005,(null),15
5933834,(null),23
5926010,(null),15
5919822,(null),18
5903004,(null),37
5926014,(null),15
(null),7095,40
5955014,(null),46
5957804,(null),60
5919814,(null),4
5955804,(null),45
5919012,(null),18
5943813,(null),40
5924805,(null),40
5901003,(null),29
5937033,(null),58
5941801,(null),10
5917811,(null),21
5901012,(null),29
5959806,(null),45
5951013,(null),36
5955034,(null),45
5951009,(null),36
5905005,(null),30
5929005,(null),50
5949812,(null),60
5949815,(null),60
5947806,(null),39
5949814,(null),60
5949816,(null),60
5947807,(null),39
5924025,(null),40
5939007,(null),14
5905032,(null),5
5951032,(null),36
5905042,(null),5
5943806,(null),40
5943809,(null),40
5949811,(null),60
5949803,(null),59
5919801,(null),35
5955808,(null),45
5909027,(null),13
5949022,(null),60
5945801,(null),39
5923824,(null),4
5933819,(null),23
5924840,(null),40
5909009,(null),13
5951034,(null),36
5923801,(null),4
5923803,(null),4
5901039,(null),14
5949832,(null),60
5926801,(null),15
5924806,(null),40
5933882,(null),23
5903023,(null),37
5915830,(null),33
5907009,(null),5
5901028,(null),14
5949813,(null),60
5949802,(null),39
5949005,(null),59
5949807,(null),59
5949804,(null),59
5924820,(null),40
5955807,(null),45
5943815,(null),40
5915816,(null),22
5909821,(null),12
(null),7029,50
5943837,(null),40
5919021,(null),35
5951827,(null),36
5919016,(null),18
5919812,(null),18
5947809,(null),39
5909880,(null),1
5941833,(null),11
5943837,(null),40
5931843,(null),84
5931026,(null),23
5915065,(null),84
5933035,(null),23
5903807,(null),37
5933807,(null),23
5957813,(null),60
5907805,(null),5
5937005,(null),80
5919811,(null),35
5933853,(null),23
5933015,(null),23
5953033,(null),51
5919815,(null),18
(null),7030,40
5947023,(null),39
5909878,(null),3
5953012,(null),52
5953802,(null),51
5933006,(null),23
5947810,(null),39
5905037,(null),5
5905009,(null),30
5949817,(null),60
5924803,(null),40
5931844,(null),84
5951802,(null),36
5951803,(null),36
5903050,(null),30
5943837,(null),40
5921805,(null),44
5941837,(null),11
5951819,(null),36
5933838,(null),26
5903032,(null),30
5949024,(null),60
5933851,(null),23
5933808,(null),23
5917005,(null),56
5924833,(null),40
5945802,(null),39
5939804,(null),58
5947803,(null),39
5907014,(null),5
5941005,(null),10
5933854,(null),23
5907005,(null),5
5907802,(null),5
5945803,(null),39
5917815,(null),24
5917801,(null),56
5931012,(null),84
5919809,(null),35
5909843,(null),13
5909844,(null),13
5923008,(null),4
5943017,(null),40
5947030,(null),39
5947007,(null),39
5943023,(null),40
5943012,(null),40
5955005,(null),46
5927008,(null),50
5947012,(null),39
5907024,(null),23
5959810,(null),45
5921806,(null),4
5943816,(null),40
5947026,(null),39
5941013,(null),11
5901040,(null),14
5939019,(null),14
5905023,(null),30
5951809,(null),36
5903011,(null),37
5939032,(null),58
5909883,(null),13
5955801,(null),46
5924039,(null),40
5909832,(null),13
5929803,(null),50
5929011,(null),50
5931831,(null),23
5933859,(null),23
5901806,(null),14
5909807,(null),13
5909826,(null),12
5939045,(null),58
5917010,(null),56
5949818,(null),60
5903027,(null),30
5933887,(null),25
5933849,(null),23
5909845,(null),13
5909814,(null),13
5947804,(null),39
5951823,(null),36
5909884,(null),12
5933825,(null),23
5909824,(null),12
5927802,(null),50
5903019,(null),30
5951043,(null),60
5917812,(null),21
5917052,(null),24
5909827,(null),13
5937802,(null),58
5909816,(null),13
5915807,(null),41
5931006,(null),84
5909885,(null),12
5951807,(null),36
5909839,(null),13
5941806,(null),10
5919804,(null),35
5909877,(null),2
5907035,(null),47
5931821,(null),23
5917819,(null),24
5949843,(null),60
5924030,(null),40
5951848,(null),36
5957802,(null),60
5951038,(null),60
5949011,(null),59
5951810,(null),36
5941821,(null),10
5923813,(null),4
5943836,(null),40
(null),7113,50
5901801,(null),29
5923025,(null),4
5941850,(null),10
5923810,(null),4
5905014,(null),30
5931829,(null),23
5917804,(null),56
5917803,(null),56
5915802,(null),20
5955812,(null),45
5923816,(null),4
5917802,(null),56
5941839,(null),10
5915806,(null),42
5955003,(null),46
5923805,(null),4
5923019,(null),4
5923807,(null),4
5941840,(null),10
5909808,(null),13
5933802,(null),23
5907807,(null),5
5953007,(null),52
5951007,(null),36
5905018,(null),30
5941025,(null),11
5955802,(null),46
5935802,(null),85
5951820,(null),36
5933877,(null),25
5931020,(null),84
5941805,(null),11
5931816,(null),23
5909842,(null),13
5941829,(null),10
5931813,(null),23
5909831,(null),12
5909818,(null),13
5951801,(null),36
5941841,(null),10
5924029,(null),40
5915011,(null),64
5909020,(null),2
5909052,(null),22
5915011,(null),67
5915011,(null),63
5915004,(null),48
5915004,(null),20
5915004,(null),17
5915075,(null),3
5909032,(null),1
5915011,(null),65
