census_subdivision_id,broadband_coverage,dsl_cable_coverage,fixed_wireless_coverage,mobility_coverage,satellite_coverage
5901003,0.398000,0.364000,0.204000,0.533000,0.767000
5901006,0.384000,0.075000,0.384000,0.584000,0.918000
5901012,1.000000,0.884000,1.000000,1.000000,1.000000
5901017,0.078000,0.036000,0.071000,0.125000,0.162000
5901019,0.247000,0.001000,0.247000,0.266000,0.340000
5901022,0.983000,0.844000,0.976000,1.000000,1.000000
5901028,0.931000,0.870000,0.743000,0.951000,0.953000
5901035,0.118000,0.047000,0.099000,0.249000,0.346000
5901037,0.129000,0.018000,0.127000,0.175000,0.241000
5901039,0.999000,0.949000,0.999000,1.000000,1.000000
5901040,0.998000,0.979000,0.976000,1.000000,1.000000
5901043,0.830000,0.829000,0.001000,1.000000,1.000000
5901046,0.047000,0.023000,0.040000,0.091000,0.097000
5901048,0.085000,0.029000,0.084000,0.110000,0.128000
5901801,1.000000,0.000000,1.000000,0.786000,1.000000
5901802,0.343000,0.000000,0.343000,1.000000,1.000000
5901803,0.952000,0.116000,0.952000,1.000000,1.000000
5901804,0.992000,0.205000,0.992000,0.999000,0.999000
5901805,0.000000,0.000000,0.000000,1.000000,1.000000
5901806,0.995000,0.934000,0.976000,1.000000,1.000000
5903004,0.819000,0.819000,0.000000,1.000000,1.000000
5903010,0.069000,0.024000,0.045000,0.223000,0.295000
5903011,0.000000,0.000000,0.000000,1.000000,1.000000
5903013,0.053000,0.053000,0.000000,0.220000,0.326000
5903015,0.990000,0.990000,0.000000,1.000000,1.000000
5903017,0.042000,0.040000,0.002000,0.255000,0.384000
5903019,0.979000,0.979000,0.000000,0.001000,1.000000
5903023,0.995000,0.995000,0.000000,0.988000,1.000000
5903027,0.292000,0.292000,0.000000,0.938000,1.000000
5903032,0.957000,0.957000,0.000000,1.000000,1.000000
5903039,0.009000,0.006000,0.003000,0.018000,0.076000
5903041,0.246000,0.239000,0.007000,0.331000,0.347000
5903043,0.213000,0.213000,0.000000,0.446000,0.493000
5903045,0.911000,0.911000,0.000000,1.000000,1.000000
5903047,0.012000,0.012000,0.000000,0.432000,0.511000
5903050,0.917000,0.917000,0.000000,0.963000,1.000000
5903052,0.048000,0.048000,0.000000,0.078000,0.293000
5903056,0.645000,0.645000,0.000000,0.981000,1.000000
5903058,0.069000,0.069000,0.000000,0.200000,0.317000
5903060,0.013000,0.013000,0.000000,0.022000,0.133000
5903807,0.566000,0.566000,0.000000,1.000000,1.000000
5905005,0.998000,0.998000,0.000000,1.000000,1.000000
5905009,0.769000,0.769000,0.000000,1.000000,1.000000
5905014,0.724000,0.724000,0.000000,0.984000,0.984000
5905018,1.000000,1.000000,0.000000,1.000000,1.000000
5905023,0.404000,0.404000,0.000000,0.982000,0.985000
5905026,0.378000,0.378000,0.000000,0.767000,0.869000
5905030,0.123000,0.123000,0.000000,0.374000,0.462000
5905032,0.985000,0.922000,0.838000,1.000000,1.000000
5905037,0.717000,0.492000,0.717000,0.720000,1.000000
5905042,0.919000,0.919000,0.000000,0.943000,1.000000
5905050,0.104000,0.073000,0.072000,0.240000,0.319000
5905052,0.037000,0.034000,0.019000,0.134000,0.220000
5905054,0.064000,0.017000,0.051000,0.097000,0.322000
5907005,0.999000,0.983000,0.999000,1.000000,1.000000
5907009,0.962000,0.858000,0.950000,1.000000,1.000000
5907014,0.998000,0.998000,0.002000,1.000000,1.000000
5907022,0.513000,0.246000,0.510000,0.499000,0.694000
5907024,0.863000,0.863000,0.000000,0.995000,1.000000
5907026,0.274000,0.015000,0.274000,0.521000,0.633000
5907028,0.258000,0.211000,0.111000,0.513000,0.631000
5907035,0.937000,0.740000,0.919000,0.996000,0.996000
5907041,0.995000,0.993000,0.995000,0.995000,0.995000
5907047,0.193000,0.139000,0.186000,0.384000,0.472000
5907049,0.232000,0.172000,0.209000,0.284000,0.304000
5907051,0.209000,0.075000,0.205000,0.395000,0.414000
5907053,0.085000,0.023000,0.084000,0.117000,0.248000
5907055,0.019000,0.004000,0.015000,0.113000,0.249000
5907801,0.000000,0.000000,0.000000,0.997000,0.998000
5907802,0.458000,0.452000,0.173000,0.883000,0.899000
5907803,0.671000,0.414000,0.670000,0.855000,0.855000
5907805,0.529000,0.000000,0.529000,0.390000,1.000000
5907806,0.966000,0.000000,0.966000,1.000000,1.000000
5907807,0.800000,0.000000,0.800000,0.000000,1.000000
5907808,0.000000,0.000000,0.000000,0.998000,1.000000
5907809,0.002000,0.000000,0.002000,0.036000,0.766000
5909009,0.834000,0.834000,0.000000,0.986000,0.986000
5909014,0.000000,0.000000,0.000000,0.070000,0.118000
5909016,0.029000,0.029000,0.000000,0.109000,0.166000
5909020,0.933000,0.900000,0.890000,0.963000,0.963000
5909027,0.832000,0.829000,0.009000,0.965000,0.965000
5909032,0.550000,0.522000,0.190000,0.938000,0.938000
5909034,0.105000,0.105000,0.034000,0.557000,0.557000
5909036,0.177000,0.173000,0.086000,0.344000,0.348000
5909048,0.038000,0.024000,0.031000,0.053000,0.149000
5909052,0.963000,0.916000,0.749000,1.000000,1.000000
5909056,0.648000,0.644000,0.262000,0.776000,0.776000
5909060,0.023000,0.011000,0.018000,0.098000,0.142000
5909062,0.944000,0.628000,0.932000,1.000000,1.000000
5909804,0.437000,0.437000,0.000000,1.000000,1.000000
5909805,0.000000,0.000000,0.000000,0.850000,1.000000
5909806,0.000000,0.000000,0.000000,0.993000,1.000000
5909807,1.000000,1.000000,0.000000,1.000000,1.000000
5909808,0.695000,0.695000,0.000000,1.000000,1.000000
5909809,0.000000,0.000000,0.000000,0.979000,1.000000
5909810,1.000000,1.000000,0.000000,1.000000,1.000000
5909812,1.000000,1.000000,0.000000,1.000000,1.000000
5909814,1.000000,1.000000,0.000000,1.000000,1.000000
5909815,0.000000,0.000000,0.000000,0.841000,1.000000
5909816,0.000000,0.000000,0.000000,0.979000,1.000000
5909817,0.000000,0.000000,0.000000,0.999000,1.000000
5909818,0.000000,0.000000,0.000000,0.965000,1.000000
5909819,0.000000,0.000000,0.000000,0.997000,1.000000
5909821,1.000000,1.000000,1.000000,1.000000,1.000000
5909824,1.000000,1.000000,1.000000,1.000000,1.000000
5909825,1.000000,1.000000,1.000000,1.000000,1.000000
5909826,1.000000,0.994000,1.000000,1.000000,1.000000
5909827,1.000000,1.000000,0.985000,1.000000,1.000000
5909830,1.000000,1.000000,0.991000,1.000000,1.000000
5909831,1.000000,1.000000,1.000000,1.000000,1.000000
5909832,0.323000,0.323000,0.000000,1.000000,1.000000
5909833,0.997000,0.989000,0.970000,1.000000,1.000000
5909834,0.881000,0.860000,0.032000,1.000000,1.000000
5909835,1.000000,1.000000,1.000000,1.000000,1.000000
5909836,0.000000,0.000000,0.000000,0.992000,0.993000
5909837,0.788000,0.785000,0.446000,1.000000,1.000000
5909838,1.000000,0.988000,0.998000,1.000000,1.000000
5909839,0.466000,0.466000,0.005000,1.000000,1.000000
5909841,0.000000,0.000000,0.000000,0.905000,1.000000
5909842,0.886000,0.000000,0.886000,0.000000,0.964000
5909843,0.007000,0.007000,0.000000,1.000000,1.000000
5909844,0.269000,0.267000,0.003000,1.000000,1.000000
5909845,0.000000,0.000000,0.000000,0.000000,0.959000
5909847,0.000000,0.000000,0.000000,0.989000,1.000000
5909848,0.989000,0.000000,0.989000,0.000000,1.000000
5909849,1.000000,1.000000,1.000000,1.000000,1.000000
5909852,0.000000,0.000000,0.000000,0.000000,1.000000
5909875,0.000000,0.000000,0.000000,0.000000,1.000000
5909876,0.000000,0.000000,0.000000,0.879000,1.000000
5909877,1.000000,1.000000,0.991000,1.000000,1.000000
5909878,1.000000,1.000000,0.971000,1.000000,1.000000
5909879,1.000000,1.000000,0.998000,1.000000,1.000000
5909880,0.944000,0.816000,0.934000,1.000000,1.000000
5909881,0.986000,0.884000,0.983000,1.000000,1.000000
5909882,0.997000,0.991000,0.994000,1.000000,1.000000
5909883,0.000000,0.000000,0.000000,0.000000,1.000000
5909884,1.000000,1.000000,1.000000,1.000000,1.000000
5909885,1.000000,0.998000,1.000000,1.000000,1.000000
5915001,0.999000,0.999000,0.037000,1.000000,1.000000
5915002,1.000000,1.000000,0.029000,1.000000,1.000000
5915004,0.959000,0.959000,0.564000,0.959000,0.959000
5915007,1.000000,1.000000,0.004000,1.000000,1.000000
5915011,0.637000,0.637000,0.505000,0.637000,0.637000
5915015,0.846000,0.846000,0.801000,0.846000,0.846000
5915020,0.108000,0.108000,0.043000,0.134000,0.151000
5915022,1.000000,1.000000,0.990000,1.000000,1.000000
5915025,1.000000,1.000000,0.967000,1.000000,1.000000
5915029,1.000000,1.000000,1.000000,1.000000,1.000000
5915034,0.807000,0.807000,0.560000,0.863000,0.863000
5915036,1.000000,1.000000,0.655000,1.000000,1.000000
5915038,0.490000,0.490000,0.471000,0.490000,0.490000
5915039,1.000000,1.000000,1.000000,1.000000,1.000000
5915043,1.000000,1.000000,0.884000,1.000000,1.000000
5915046,0.762000,0.762000,0.519000,0.860000,0.860000
5915051,1.000000,1.000000,0.998000,1.000000,1.000000
5915055,0.837000,0.837000,0.551000,1.000000,1.000000
5915062,0.869000,0.869000,0.002000,0.887000,0.887000
5915065,0.971000,0.971000,0.000000,1.000000,1.000000
5915070,0.873000,0.873000,0.497000,0.975000,0.975000
5915075,0.537000,0.537000,0.016000,0.743000,0.743000
5915801,1.000000,1.000000,0.000000,1.000000,1.000000
5915802,1.000000,1.000000,0.377000,1.000000,1.000000
5915803,1.000000,1.000000,0.962000,1.000000,1.000000
5915804,1.000000,1.000000,1.000000,1.000000,1.000000
5915805,1.000000,1.000000,1.000000,1.000000,1.000000
5915806,1.000000,1.000000,0.949000,1.000000,1.000000
5915807,1.000000,1.000000,1.000000,1.000000,1.000000
5915808,1.000000,1.000000,1.000000,1.000000,1.000000
5915809,1.000000,1.000000,0.734000,1.000000,1.000000
5915810,1.000000,1.000000,1.000000,1.000000,1.000000
5915811,1.000000,1.000000,1.000000,1.000000,1.000000
5915813,1.000000,1.000000,0.398000,1.000000,1.000000
5915816,1.000000,1.000000,0.000000,1.000000,1.000000
5915825,1.000000,1.000000,0.036000,1.000000,1.000000
5915830,1.000000,1.000000,0.734000,1.000000,1.000000
5915835,1.000000,1.000000,0.000000,1.000000,1.000000
5915840,0.971000,0.971000,0.038000,1.000000,1.000000
5917005,0.987000,0.987000,0.082000,1.000000,1.000000
5917010,0.997000,0.997000,0.137000,1.000000,1.000000
5917015,0.998000,0.995000,0.596000,1.000000,1.000000
5917021,0.999000,0.999000,0.924000,0.999000,0.999000
5917027,0.716000,0.660000,0.309000,0.823000,0.823000
5917029,0.328000,0.273000,0.090000,0.559000,0.559000
5917030,1.000000,1.000000,1.000000,1.000000,1.000000
5917034,1.000000,1.000000,1.000000,1.000000,1.000000
5917040,1.000000,1.000000,1.000000,1.000000,1.000000
5917041,1.000000,1.000000,0.882000,1.000000,1.000000
5917042,0.896000,0.896000,0.113000,0.993000,0.993000
5917044,0.999000,0.999000,0.821000,1.000000,1.000000
5917047,1.000000,1.000000,0.950000,1.000000,1.000000
5917049,0.993000,0.993000,0.402000,1.000000,1.000000
5917052,0.926000,0.926000,0.006000,0.966000,0.997000
5917054,0.230000,0.230000,0.082000,0.273000,0.304000
5917056,0.021000,0.021000,0.000000,0.057000,0.158000
5917801,0.994000,0.994000,0.231000,1.000000,1.000000
5917802,1.000000,1.000000,0.000000,1.000000,1.000000
5917803,0.998000,0.995000,0.740000,1.000000,1.000000
5917804,0.998000,0.998000,0.235000,1.000000,1.000000
5917805,0.736000,0.000000,0.736000,1.000000,1.000000
5917809,0.998000,0.998000,0.000000,1.000000,1.000000
5917811,1.000000,1.000000,1.000000,1.000000,1.000000
5917812,1.000000,1.000000,1.000000,1.000000,1.000000
5917815,0.000000,0.000000,0.000000,0.000000,1.000000
5917819,0.986000,0.986000,0.000000,0.998000,0.998000
5919008,0.945000,0.840000,0.925000,1.000000,1.000000
5919012,1.000000,0.999000,1.000000,1.000000,1.000000
5919013,0.883000,0.808000,0.715000,0.923000,0.923000
5919015,0.218000,0.154000,0.179000,0.290000,0.316000
5919016,0.961000,0.961000,0.000000,1.000000,1.000000
5919017,0.685000,0.679000,0.301000,0.958000,0.958000
5919021,1.000000,1.000000,0.852000,1.000000,1.000000
5919033,0.067000,0.058000,0.012000,0.172000,0.205000
5919035,0.066000,0.066000,0.000000,0.324000,0.466000
5919043,0.785000,0.758000,0.415000,1.000000,1.000000
5919046,0.528000,0.403000,0.213000,0.817000,0.870000
5919049,0.940000,0.922000,0.771000,0.940000,0.940000
5919051,0.743000,0.516000,0.676000,0.920000,0.922000
5919801,1.000000,0.941000,1.000000,1.000000,1.000000
5919802,1.000000,1.000000,1.000000,1.000000,1.000000
5919803,1.000000,0.979000,1.000000,1.000000,1.000000
5919804,0.982000,0.973000,0.773000,1.000000,1.000000
5919808,0.992000,0.983000,0.696000,1.000000,1.000000
5919809,0.997000,0.717000,0.968000,1.000000,1.000000
5919811,0.000000,0.000000,0.000000,0.000000,0.000000
5919812,1.000000,1.000000,0.000000,1.000000,1.000000
5919814,0.000000,0.000000,0.000000,0.000000,1.000000
5919815,0.931000,0.872000,0.788000,1.000000,1.000000
5919816,0.999000,0.999000,0.402000,1.000000,1.000000
5919817,0.736000,0.000000,0.736000,1.000000,1.000000
5919818,0.992000,0.983000,0.300000,1.000000,1.000000
5919820,1.000000,1.000000,0.825000,1.000000,1.000000
5919821,0.928000,0.621000,0.840000,1.000000,1.000000
5919822,0.919000,0.796000,0.783000,0.999000,0.999000
5921007,1.000000,0.998000,0.952000,1.000000,1.000000
5921008,0.938000,0.838000,0.924000,1.000000,1.000000
5921010,0.962000,0.952000,0.448000,1.000000,1.000000
5921014,0.467000,0.451000,0.100000,0.478000,0.478000
5921016,0.179000,0.151000,0.118000,0.365000,0.399000
5921018,0.999000,0.999000,0.070000,0.999000,0.999000
5921023,0.989000,0.977000,0.545000,1.000000,1.000000
5921030,0.622000,0.602000,0.253000,0.648000,0.648000
5921032,0.927000,0.757000,0.558000,1.000000,1.000000
5921034,0.487000,0.485000,0.209000,0.491000,0.491000
5921036,0.339000,0.339000,0.007000,0.825000,0.826000
5921804,1.000000,1.000000,1.000000,1.000000,1.000000
5921805,1.000000,1.000000,0.949000,1.000000,1.000000
5921806,1.000000,1.000000,0.000000,1.000000,1.000000
5921807,1.000000,1.000000,0.794000,1.000000,1.000000
5923008,0.937000,0.937000,0.000000,1.000000,1.000000
5923019,0.977000,0.977000,0.000000,1.000000,1.000000
5923025,0.776000,0.776000,0.000000,0.964000,0.964000
5923033,0.193000,0.193000,0.000000,0.982000,0.989000
5923035,0.090000,0.090000,0.000000,0.141000,0.208000
5923037,0.869000,0.869000,0.000000,1.000000,1.000000
5923039,0.233000,0.233000,0.000000,0.672000,0.851000
5923047,0.000000,0.000000,0.000000,0.034000,0.100000
5923049,0.022000,0.022000,0.000000,0.056000,0.076000
5923801,0.932000,0.932000,0.000000,1.000000,1.000000
5923802,0.938000,0.938000,0.000000,1.000000,1.000000
5923803,0.000000,0.000000,0.000000,1.000000,1.000000
5923804,0.096000,0.096000,0.000000,1.000000,1.000000
5923805,0.000000,0.000000,0.000000,0.000000,1.000000
5923806,0.000000,0.000000,0.000000,0.000000,1.000000
5923807,0.974000,0.974000,0.000000,1.000000,1.000000
5923808,0.000000,0.000000,0.000000,0.218000,0.656000
5923809,0.000000,0.000000,0.000000,0.000000,0.965000
5923810,0.000000,0.000000,0.000000,0.566000,0.568000
5923813,0.997000,0.997000,0.000000,1.000000,1.000000
5923814,0.000000,0.000000,0.000000,1.000000,1.000000
5923816,0.952000,0.952000,0.000000,1.000000,1.000000
5923822,0.960000,0.960000,0.000000,1.000000,1.000000
5923823,0.000000,0.000000,0.000000,1.000000,1.000000
5923824,0.000000,0.000000,0.000000,0.000000,0.817000
5923825,0.703000,0.703000,0.000000,1.000000,1.000000
5924025,0.318000,0.318000,0.000000,0.000000,0.414000
5924029,0.000000,0.000000,0.000000,0.000000,0.777000
5924030,0.814000,0.814000,0.000000,0.000000,0.844000
5924034,0.750000,0.750000,0.000000,0.929000,0.929000
5924039,0.901000,0.901000,0.000000,0.015000,1.000000
5924042,0.038000,0.038000,0.000000,0.062000,0.114000
5924048,0.011000,0.011000,0.000000,0.015000,0.062000
5924052,0.000000,0.000000,0.000000,0.413000,0.413000
5924054,0.005000,0.005000,0.000000,0.025000,0.036000
5924803,0.000000,0.000000,0.000000,0.000000,0.000000
5924804,0.989000,0.989000,0.000000,1.000000,1.000000
5924805,0.000000,0.000000,0.000000,0.000000,0.000000
5924806,0.000000,0.000000,0.000000,0.000000,1.000000
5924812,1.000000,1.000000,0.000000,1.000000,1.000000
5924813,0.000000,0.000000,0.000000,0.000000,1.000000
5924814,0.000000,0.000000,0.000000,0.000000,1.000000
5924817,0.529000,0.529000,0.000000,1.000000,1.000000
5924818,0.000000,0.000000,0.000000,1.000000,1.000000
5924820,0.000000,0.000000,0.000000,0.857000,0.857000
5924833,0.000000,0.000000,0.000000,0.000000,0.778000
5924835,0.320000,0.320000,0.000000,0.000000,1.000000
5924836,0.000000,0.000000,0.000000,0.000000,1.000000
5924840,1.000000,1.000000,0.000000,1.000000,1.000000
5926005,0.961000,0.961000,0.000000,1.000000,1.000000
5926010,0.994000,0.994000,0.000000,1.000000,1.000000
5926014,0.964000,0.964000,0.000000,1.000000,1.000000
5926021,0.327000,0.327000,0.000000,0.454000,0.478000
5926022,0.490000,0.490000,0.000000,0.517000,0.517000
5926024,0.165000,0.165000,0.000000,0.362000,0.445000
5926801,1.000000,1.000000,0.000000,1.000000,1.000000
5926802,0.994000,0.994000,0.000000,1.000000,1.000000
5927008,0.941000,0.941000,0.000000,0.997000,0.997000
5927010,0.017000,0.017000,0.000000,0.056000,0.067000
5927012,0.258000,0.258000,0.000000,0.526000,0.526000
5927016,0.067000,0.067000,0.000000,0.234000,0.354000
5927018,0.006000,0.006000,0.000000,0.294000,0.294000
5927020,0.000000,0.000000,0.000000,0.185000,0.185000
5927802,0.566000,0.566000,0.000000,1.000000,1.000000
5927806,0.695000,0.695000,0.000000,0.994000,1.000000
5929005,0.982000,0.982000,0.000000,1.000000,1.000000
5929011,0.999000,0.999000,0.000000,1.000000,1.000000
5929018,0.033000,0.033000,0.000000,0.077000,0.163000
5929022,0.068000,0.068000,0.000000,0.127000,0.169000
5929024,0.396000,0.396000,0.000000,0.421000,0.429000
5929026,0.353000,0.353000,0.000000,0.448000,0.456000
5929028,0.140000,0.140000,0.000000,0.456000,0.482000
5929801,1.000000,1.000000,0.000000,1.000000,1.000000
5929803,0.316000,0.316000,0.000000,0.321000,0.713000
5931006,0.766000,0.766000,0.000000,0.971000,0.971000
5931012,0.797000,0.793000,0.027000,0.921000,0.921000
5931017,0.049000,0.030000,0.021000,0.057000,0.104000
5931020,0.459000,0.459000,0.000000,0.613000,0.613000
5931021,0.050000,0.050000,0.000000,0.124000,0.168000
5931026,0.814000,0.814000,0.000000,0.915000,1.000000
5931032,0.021000,0.000000,0.021000,0.000000,0.071000
5931034,0.021000,0.020000,0.000000,0.027000,0.220000
5931801,0.295000,0.295000,0.000000,0.850000,0.850000
5931802,0.999000,0.999000,0.000000,1.000000,1.000000
5931806,0.999000,0.999000,0.000000,1.000000,1.000000
5931807,0.986000,0.986000,0.000000,1.000000,1.000000
5931808,1.000000,1.000000,0.000000,1.000000,1.000000
5931809,1.000000,1.000000,0.000000,1.000000,1.000000
5931812,0.000000,0.000000,0.000000,1.000000,1.000000
5931813,0.027000,0.027000,0.000000,0.027000,0.992000
5931814,0.839000,0.839000,0.000000,0.965000,1.000000
5931815,0.000000,0.000000,0.000000,0.001000,1.000000
5931816,0.109000,0.109000,0.000000,0.080000,1.000000
5931817,0.000000,0.000000,0.000000,0.000000,1.000000
5931818,0.827000,0.827000,0.000000,0.608000,1.000000
5931819,0.827000,0.827000,0.000000,0.608000,1.000000
5931820,0.000000,0.000000,0.000000,0.000000,1.000000
5931821,0.872000,0.872000,0.000000,0.969000,1.000000
5931822,0.000000,0.000000,0.000000,0.000000,1.000000
5931823,0.216000,0.216000,0.000000,1.000000,1.000000
5931824,0.695000,0.695000,0.000000,0.926000,1.000000
5931826,0.000000,0.000000,0.000000,0.000000,1.000000
5931827,1.000000,1.000000,0.000000,0.056000,1.000000
5931828,0.033000,0.033000,0.000000,1.000000,1.000000
5931829,0.112000,0.044000,0.069000,0.000000,0.979000
5931831,0.000000,0.000000,0.000000,0.000000,1.000000
5931832,0.000000,0.000000,0.000000,0.327000,0.756000
5931833,0.000000,0.000000,0.000000,0.000000,1.000000
5931842,0.827000,0.827000,0.000000,0.608000,1.000000
5931843,0.082000,0.082000,0.000000,1.000000,1.000000
5931844,0.997000,0.997000,0.000000,0.000000,1.000000
5933006,0.986000,0.986000,0.000000,1.000000,1.000000
5933008,0.044000,0.010000,0.033000,0.210000,0.292000
5933012,0.019000,0.019000,0.000000,0.264000,0.364000
5933015,0.330000,0.330000,0.000000,0.949000,1.000000
5933019,0.465000,0.465000,0.000000,0.600000,0.601000
5933024,0.000000,0.000000,0.000000,0.980000,0.980000
5933028,0.899000,0.829000,0.899000,1.000000,1.000000
5933032,0.079000,0.006000,0.079000,0.111000,0.175000
5933035,0.043000,0.043000,0.000000,0.164000,0.449000
5933037,0.035000,0.017000,0.018000,0.141000,0.289000
